LAST SEEN   TYPE      REASON                OBJECT                                                      MESSAGE
2m42s       Warning   FailedScheduling      pod/loki-write-1                                            0/2 nodes are available: 2 node(s) exceed max volume count. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.
2m42s       Warning   FailedScheduling      pod/loki-read-2                                             0/2 nodes are available: 2 node(s) exceed max volume count. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.
2m42s       Warning   FailedScheduling      pod/loki-read-1                                             0/2 nodes are available: 2 node(s) exceed max volume count. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.
2m42s       Warning   FailedScheduling      pod/cloudsound-postgres-0                                   0/2 nodes are available: 2 node(s) exceed max volume count. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.
2m42s       Warning   FailedScheduling      pod/cloudsound-kafka-controller-2                           0/2 nodes are available: 2 node(s) exceed max volume count. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.
22m         Normal    Pulled                pod/cloudsound-authentication-9fb7bfc67-ftjw8               (combined from similar events): Successfully pulled image "cloudsoundacrmgo77h.azurecr.io/authentication:latest" in 131ms (131ms including waiting). Image size: 209250802 bytes.
15m         Warning   Failed                pod/cloudsound-kafka-controller-0                           Failed to pull image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": rpc error: code = NotFound desc = failed to pull and unpack image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": failed to resolve reference "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1: not found
10m         Normal    Pulling               pod/cloudsound-kafka-controller-0                           Pulling image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1"
10m         Warning   Failed                pod/cloudsound-kafka-controller-0                           Failed to pull image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": [rpc error: code = NotFound desc = failed to pull and unpack image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": failed to resolve reference "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1: not found, failed to pull and unpack image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": failed to resolve reference "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1": failed to authorize: failed to fetch anonymous token: unexpected status from GET request to https://cloudsoundacrmgo77h.azurecr.io/oauth2/token?scope=repository%3Abitnami%2Fkafka%3Apull&service=cloudsoundacrmgo77h.azurecr.io: 401 Unauthorized]
7m13s       Normal    Killing               pod/cloudsound-authentication-9fb7bfc67-ftjw8               Container authentication failed liveness probe, will be restarted
6m33s       Warning   Unhealthy             pod/cloudsound-authentication-9fb7bfc67-ftjw8               Liveness probe failed: Get "http://10.0.1.38:8006/health": dial tcp 10.0.1.38:8006: connect: connection refused
2m25s       Normal    WaitForPodScheduled   persistentvolumeclaim/data-loki-read-2                      waiting for pod loki-read-2 to be scheduled
2m25s       Normal    WaitForPodScheduled   persistentvolumeclaim/data-loki-write-1                     waiting for pod loki-write-1 to be scheduled
2m25s       Normal    WaitForPodScheduled   persistentvolumeclaim/postgres-data-cloudsound-postgres-0   waiting for pod cloudsound-postgres-0 to be scheduled
2m25s       Normal    WaitForPodScheduled   persistentvolumeclaim/data-loki-read-1                      waiting for pod loki-read-1 to be scheduled
101s        Warning   BackOff               pod/cloudsound-authentication-9fb7bfc67-ftjw8               Back-off restarting failed container authentication in pod cloudsound-authentication-9fb7bfc67-ftjw8_cloudsound(466738f8-97df-401a-aa1a-220c3e24cf30)
63s         Normal    Pulling               pod/cloudsound-authentication-9fb7bfc67-ftjw8               Pulling image "cloudsoundacrmgo77h.azurecr.io/authentication:latest"
55s         Normal    BackOff               pod/cloudsound-prometheus-node-exporter-mnffw               Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/prometheus/node-exporter:v1.6.1"
55s         Warning   Failed                pod/cloudsound-prometheus-node-exporter-mnffw               Error: ImagePullBackOff
52s         Normal    BackOff               pod/cloudsound-prometheus-node-exporter-w7tbk               Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/prometheus/node-exporter:v1.6.1"
52s         Warning   Failed                pod/cloudsound-prometheus-node-exporter-w7tbk               Error: ImagePullBackOff
45s         Normal    BackOff               pod/cloudsound-kube-state-metrics-5f9ddfddf4-kz7vf          Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/kube-state-metrics/kube-state-metrics:v2.10.0"
45s         Warning   Failed                pod/cloudsound-kube-state-metrics-5f9ddfddf4-kz7vf          Error: ImagePullBackOff
33s         Warning   Failed                pod/cloudsound-rabbitmq-0                                   Error: ImagePullBackOff
33s         Normal    BackOff               pod/cloudsound-rabbitmq-0                                   Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/bitnami/rabbitmq:3.12.8-debian-11-r1"
33s         Warning   Failed                pod/cloudsound-kafka-controller-0                           Error: ImagePullBackOff
33s         Normal    BackOff               pod/cloudsound-kafka-controller-0                           Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1"
29s         Warning   Failed                pod/cloudsound-kafka-controller-1                           Error: ImagePullBackOff
29s         Normal    BackOff               pod/cloudsound-kafka-controller-1                           Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/bitnami/kafka:3.6.0-debian-11-r1"
26s         Normal    BackOff               pod/cloudsound-grafana-67458c65df-m7kls                     Back-off pulling image "cloudsoundacrmgo77h.azurecr.io/library/busybox:1.31.1"
26s         Warning   Failed                pod/cloudsound-grafana-67458c65df-m7kls                     Error: ImagePullBackOff
