NAME                                                 CPU(cores)   MEMORY(bytes)   
cloudsound-analytics-78478f9b5f-lrcxw                1m           66Mi            
cloudsound-api-gateway-76c5d5cb56-d6xxw              2m           57Mi            
cloudsound-authentication-9fb7bfc67-ftjw8            35m          51Mi            
cloudsound-concert-management-577c876c65-2cdjz       1m           63Mi            
cloudsound-event-manager-564d77ccdc-vjqjb            1m           66Mi            
cloudsound-frontend-77bff994fb-fhhqt                 1m           3Mi             
cloudsound-grafana-agent-operator-77944456b8-pdpqq   1m           45Mi            
cloudsound-loki-logs-6dl9j                           4m           60Mi            
cloudsound-loki-logs-btj4d                           7m           76Mi            
cloudsound-minio-5f4784f7fd-kfsd9                    2m           106Mi           
cloudsound-music-discovery-78b4db6b7-bwb24           1m           80Mi            
cloudsound-prometheus-pushgateway-577b58858c-thkfs   1m           18Mi            
cloudsound-prometheus-server-d6f47d676-lzfs7         6m           361Mi           
cloudsound-radio-streaming-7979674cdb-68pph          2m           75Mi            
loki-canary-49szr                                    1m           19Mi            
loki-canary-pjrqm                                    1m           22Mi            
loki-gateway-795b5948b6-gphjd                        1m           11Mi            
loki-read-0                                          22m          88Mi            
loki-write-0                                         10m          504Mi           
loki-write-2                                         9m           331Mi           
